Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
project-1-team-8,com.sismics.reader.resource,UserResource,0,0,3,3,41,3,0,1,-1.0,3,0,/home/sathvika/sem6/SE/project-1-team-8/reader-android/app/src/main/java/com/sismics/reader/resource/UserResource.java,8
project-1-team-8,com.sismics.reader.fragment,AddSubscriptionDialogFragment,1,0,8,8,70,13,0,0,0.625,1,1,/home/sathvika/sem6/SE/project-1-team-8/reader-android/app/src/main/java/com/sismics/reader/fragment/AddSubscriptionDialogFragment.java,21
project-1-team-8,com.sismics.reader.fragment,AddSubscriptionDialogFragment.AddSubscriptionDialogListener,0,0,0,0,6,0,0,0,-1.0,0,0,/home/sathvika/sem6/SE/project-1-team-8/reader-android/app/src/main/java/com/sismics/reader/fragment/AddSubscriptionDialogFragment.java,33
project-1-team-8,com.sismics.reader.fragment,NavigationFragment,0,0,0,0,6,0,2,0,-1.0,0,0,/home/sathvika/sem6/SE/project-1-team-8/reader-android/app/src/main/java/com/sismics/reader/fragment/NavigationFragment.java,6
project-1-team-8,com.sismics.reader.fragment,SettingsFragment,0,0,5,5,41,6,0,0,-1.0,0,3,/home/sathvika/sem6/SE/project-1-team-8/reader-android/app/src/main/java/com/sismics/reader/fragment/SettingsFragment.java,18
project-1-team-8,com.sismics.reader.fragment,ArticlesDefaultFragment,1,0,2,2,25,2,0,1,0.0,1,0,/home/sathvika/sem6/SE/project-1-team-8/reader-android/app/src/main/java/com/sismics/reader/fragment/ArticlesDefaultFragment.java,11
project-1-team-8,com.sismics.reader.fragment,ArticlesFragment,3,0,22,21,0,55,0,1,0.7272727272727273,0,7,/home/sathvika/sem6/SE/project-1-team-8/reader-android/app/src/main/java/com/sismics/reader/fragment/ArticlesFragment.java,44
project-1-team-8,com.sismics.reader.fragment,ArticleFragment,3,0,10,9,164,19,0,0,0.3,1,1,/home/sathvika/sem6/SE/project-1-team-8/reader-android/app/src/main/java/com/sismics/reader/fragment/ArticleFragment.java,37
project-1-team-8,com.sismics.reader.listener,ArticlesHelperListener,0,0,4,4,22,4,0,0,-1.0,4,0,/home/sathvika/sem6/SE/project-1-team-8/reader-android/app/src/main/java/com/sismics/reader/listener/ArticlesHelperListener.java,3
project-1-team-8,com.sismics.reader.listener,CallbackListener,0,0,1,1,7,1,0,0,-1.0,2,0,/home/sathvika/sem6/SE/project-1-team-8/reader-android/app/src/main/java/com/sismics/reader/listener/CallbackListener.java,3
project-1-team-8,com.sismics.reader.constant,Constants,2,2,0,0,14,0,0,0,-1.0,2,0,/home/sathvika/sem6/SE/project-1-team-8/reader-android/app/src/main/java/com/sismics/reader/constant/Constants.java,4
project-1-team-8,com.sismics.reader.provider,RecentSuggestionsProvider,2,2,1,1,11,1,0,0,0.0,2,0,/home/sathvika/sem6/SE/project-1-team-8/reader-android/app/src/main/java/com/sismics/reader/provider/RecentSuggestionsProvider.java,5
project-1-team-8,com.sismics.reader,MainApplication,0,0,2,2,15,2,0,0,-1.0,0,2,/home/sathvika/sem6/SE/project-1-team-8/reader-android/app/src/main/java/com/sismics/reader/MainApplication.java,11
project-1-team-8,com.sismics.reader,BaseTransactionalTest,0,0,2,2,15,2,0,0,-1.0,0,2,/home/sathvika/sem6/SE/project-1-team-8/reader-core/src/test/java/com/sismics/reader/BaseTransactionalTest.java,12
project-1-team-8,com.sismics.reader,Standalone,2,0,1,1,60,5,0,0,0.0,0,0,/home/sathvika/sem6/SE/project-1-team-8/reader-distribution-standalone/src/main/java/com/sismics/reader/Standalone.java,12
project-1-team-8,com.sismics.reader.util,ApplicationUtil,0,0,2,2,34,2,0,0,-1.0,2,0,/home/sathvika/sem6/SE/project-1-team-8/reader-android/app/src/main/java/com/sismics/reader/util/ApplicationUtil.java,7
project-1-team-8,com.sismics.reader.util,PreferenceUtil,7,7,9,9,133,15,0,0,0.5555555555555556,10,0,/home/sathvika/sem6/SE/project-1-team-8/reader-android/app/src/main/java/com/sismics/reader/util/PreferenceUtil.java,15
project-1-team-8,com.sismics.reader.core.model.jpa,AuthenticationToken,5,0,11,11,99,11,0,0,0.36363636363636365,3,0,/home/sathvika/sem6/SE/project-1-team-8/reader-core/src/main/java/com/sismics/reader/core/model/jpa/AuthenticationToken.java,12
project-1-team-8,com.sismics.reader.core.model.jpa,FeedSynchronization,6,0,13,13,69,13,0,0,0.3076923076923077,2,0,/home/sathvika/sem6/SE/project-1-team-8/reader-core/src/main/java/com/sismics/reader/core/model/jpa/FeedSynchronization.java,13
project-1-team-8,com.sismics.reader.core.model.jpa,Feed,10,0,23,23,194,23,0,0,0.43478260869565216,12,0,/home/sathvika/sem6/SE/project-1-team-8/reader-core/src/main/java/com/sismics/reader/core/model/jpa/Feed.java,11
project-1-team-8,com.sismics.reader.core.model.jpa,Category,8,0,17,17,153,17,0,0,0.4117647058823529,5,0,/home/sathvika/sem6/SE/project-1-team-8/reader-core/src/main/java/com/sismics/reader/core/model/jpa/Category.java,12
project-1-team-8,com.sismics.reader.core.model.jpa,FeedSubscription,9,0,19,19,171,19,0,0,0.3157894736842105,4,0,/home/sathvika/sem6/SE/project-1-team-8/reader-core/src/main/java/com/sismics/reader/core/model/jpa/FeedSubscription.java,11
project-1-team-8,com.sismics.reader.core.model.jpa,User,15,0,31,31,279,31,0,0,0.45161290322580644,12,0,/home/sathvika/sem6/SE/project-1-team-8/reader-core/src/main/java/com/sismics/reader/core/model/jpa/User.java,12
project-1-team-8,com.sismics.reader.core.model.jpa,RoleBaseFunction,5,0,11,11,99,11,0,0,0.2727272727272727,0,0,/home/sathvika/sem6/SE/project-1-team-8/reader-core/src/main/java/com/sismics/reader/core/model/jpa/RoleBaseFunction.java,12
