Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
project-1-team-8,com.sismics.reader.rest.resource,AllResource,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader.rest.resource,AllResource,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseResource
project-1-team-8,com.sismics.reader.rest.resource,JobResource,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader.rest.resource,JobResource,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseResource
project-1-team-8,com.sismics.reader.rest.resource,TextPlainMessageBodyWriter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader.rest.resource,BaseResource,Wide Hierarchy,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: StarredResource; LocaleResource; SearchResource; SubscriptionResource; AllResource; JobResource; ThemeResource; ArticleResource; AppResource; CategoryResource; UserResource
project-1-team-8,com.sismics.reader.rest.resource,ThemeResource,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader.rest.resource,ThemeResource,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseResource
project-1-team-8,com.sismics.reader.rest.resource,ArticleResource,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader.rest.resource,ArticleResource,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseResource
project-1-team-8,com.sismics.reader.rest.resource,AppResource,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader.rest.resource,AppResource,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseResource
project-1-team-8,com.sismics.reader.rest.resource,CategoryResource,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader.rest.resource,CategoryResource,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseResource
project-1-team-8,com.sismics.reader.rest.resource,UserResource,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.reader.rest.resource,UserResource,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseResource
project-1-team-8,com.sismics.reader.rest.constant,BaseFunction,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
project-1-team-8,com.sismics.reader.rest.dao,ThemeDao,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: STYLESHEETS_THEME_DIRS; CSS_FILTER
project-1-team-8,com.sismics.reader.rest,TestAllResource,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseJerseyTest
project-1-team-8,com.sismics.reader.rest,TestSearchResource,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: testSearchResource
project-1-team-8,com.sismics.reader.rest,TestSearchResource,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseJerseyTest
project-1-team-8,com.sismics.reader.rest,TestJobResource,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseJerseyTest
project-1-team-8,com.sismics.reader.rest,TestCategoryResource,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: testCategoryResource
project-1-team-8,com.sismics.reader.rest,TestCategoryResource,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseJerseyTest
project-1-team-8,com.sismics.reader.rest,TestLocaleResource,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseJerseyTest
project-1-team-8,com.sismics.reader.rest,TestSecurity,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseJerseyTest
project-1-team-8,com.sismics.reader.rest,TestStarredResource,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: testStarredResource
project-1-team-8,com.sismics.reader.rest,TestStarredResource,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseJerseyTest
project-1-team-8,com.sismics.reader.rest,TestThemeResource,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseJerseyTest
project-1-team-8,com.sismics.reader.rest,TestUserResource,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseJerseyTest
project-1-team-8,com.sismics.reader.rest,TestAppResource,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseJerseyTest
project-1-team-8,com.sismics.reader.rest,TestSubscriptionResource,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseJerseyTest
project-1-team-8,com.sismics.reader.rest,BaseJerseyTest,Wide Hierarchy,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: TestAllResource; TestSearchResource; TestJobResource; TestCategoryResource; TestLocaleResource; TestSecurity; TestStarredResource; TestThemeResource; TestUserResource; TestAppResource; TestSubscriptionResource
project-1-team-8,com.sismics.reader.rest,BaseJerseyTest,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 34 methods
project-1-team-8,com.sismics.rest.resource,GenericExceptionMapper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.rest.exception,ServerException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.rest.exception,ForbiddenClientException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.rest.exception,ClientException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
project-1-team-8,com.sismics.security,AnonymousPrincipal,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ANONYMOUS; locale; dateTimeZone
project-1-team-8,com.sismics.util.filter,TokenBasedSecurityFilter,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: COOKIE_NAME; TOKEN_LONG_LIFETIME; TOKEN_SESSION_LIFETIME
project-1-team-8,com.sismics.util.filter,SecurityFilter,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PRINCIPAL_ATTRIBUTE; LOG
project-1-team-8,com.sismics.util.filter,HeaderBasedSecurityFilter,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: AUTHENTICATED_USER_HEADER; enabled
project-1-team-8,com.sismics.reader.rest.filter,CookieAuthenticationFilter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
