Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,atomReaderWhatifTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.sismics.reader.core.dao.file.rss.RssReader.readRssFeed; com.sismics.reader.core.model.jpa.Feed.getTitle; com.sismics.reader.core.model.jpa.Feed.getDescription; com.sismics.reader.core.model.jpa.Feed.getUrl; com.sismics.reader.core.model.jpa.Feed.getLanguage; com.sismics.reader.core.dao.file.rss.RssReader.getArticleList; com.sismics.reader.core.dao.file.rss.RssReader.getFeed
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderSpaceTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 13
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderSpaceTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.sismics.reader.core.model.jpa.Article.getCommentUrl; com.sismics.reader.core.model.jpa.Article.getCommentCount; com.sismics.reader.core.model.jpa.Article.getUrl; com.sismics.reader.core.model.jpa.Article.getGuid; com.sismics.reader.core.model.jpa.Feed.getDescription; com.sismics.reader.core.model.jpa.Article.getDescription; com.sismics.reader.core.model.jpa.Feed.getUrl; com.sismics.reader.core.model.jpa.Feed.getLanguage; com.sismics.reader.core.model.jpa.Article.getCreator; com.sismics.reader.core.model.jpa.Article.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.readRssFeed; com.sismics.reader.core.model.jpa.Feed.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.getArticleList; com.sismics.reader.core.dao.file.rss.RssReader.getFeed; com.sismics.reader.core.model.jpa.Article.getPublicationDate
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderEsaTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderEsaTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.sismics.reader.core.model.jpa.Article.getCommentUrl; com.sismics.reader.core.model.jpa.Article.getCommentCount; com.sismics.reader.core.model.jpa.Article.getUrl; com.sismics.reader.core.model.jpa.Article.getGuid; com.sismics.reader.core.model.jpa.Article.getDescription; com.sismics.reader.core.model.jpa.Feed.getUrl; com.sismics.reader.core.model.jpa.Article.getCreator; com.sismics.reader.core.model.jpa.Article.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.readRssFeed; com.sismics.reader.core.model.jpa.Feed.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.getArticleList; com.sismics.reader.core.dao.file.rss.RssReader.getFeed; com.sismics.reader.core.model.jpa.Article.getPublicationDate
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderLemessagerTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,rssReaderLemessagerTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.sismics.reader.core.model.jpa.Article.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.readRssFeed; com.sismics.reader.core.model.jpa.Article.getCommentUrl; com.sismics.reader.core.model.jpa.Feed.getTitle; com.sismics.reader.core.model.jpa.Article.getCommentCount; com.sismics.reader.core.model.jpa.Article.getUrl; com.sismics.reader.core.model.jpa.Article.getGuid; com.sismics.reader.core.model.jpa.Feed.getUrl; com.sismics.reader.core.dao.file.rss.RssReader.getArticleList; com.sismics.reader.core.model.jpa.Article.getCreator; com.sismics.reader.core.dao.file.rss.RssReader.getFeed; com.sismics.reader.core.model.jpa.Article.getPublicationDate
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,atomReaderMakikoTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,atomReaderMakikoTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.sismics.reader.core.model.jpa.Article.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.readRssFeed; com.sismics.reader.core.model.jpa.Article.getCommentUrl; com.sismics.reader.core.model.jpa.Feed.getTitle; com.sismics.reader.core.model.jpa.Article.getUrl; com.sismics.reader.core.model.jpa.Article.getGuid; com.sismics.reader.core.model.jpa.Article.getDescription; com.sismics.reader.core.model.jpa.Feed.getUrl; com.sismics.reader.core.dao.file.rss.RssReader.getArticleList; com.sismics.reader.core.model.jpa.Article.getCreator; com.sismics.reader.core.dao.file.rss.RssReader.getFeed; com.sismics.reader.core.model.jpa.Article.getPublicationDate
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,atomReaderMarijnhaverbekeTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,atomReaderMarijnhaverbekeTest,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.sismics.reader.core.model.jpa.Article.getTitle; com.sismics.reader.core.dao.file.rss.RssReader.readRssFeed; com.sismics.reader.core.model.jpa.Feed.getBaseUri; com.sismics.reader.core.model.jpa.Feed.getTitle; com.sismics.reader.core.model.jpa.Article.getUrl; com.sismics.reader.core.model.jpa.Article.getGuid; com.sismics.reader.core.model.jpa.Article.getDescription; com.sismics.reader.core.model.jpa.Article.getBaseUri; com.sismics.reader.core.dao.file.rss.RssReader.getArticleList; com.sismics.reader.core.model.jpa.Article.getCreator; com.sismics.reader.core.dao.file.rss.RssReader.getFeed; com.sismics.reader.core.model.jpa.Article.getPublicationDate
