Project Name,Package Name,Type Name,Method Name,Code Smell
project-1-team-8,com.sismics.reader.fragment,ArticleFragment,onCreateView,Long Statement
project-1-team-8,com.sismics.reader.fragment,ArticleFragment,onCreateView,Long Statement
project-1-team-8,com.sismics.reader.fragment,ArticleFragment,onCreateView,Long Statement
project-1-team-8,com.sismics.reader.fragment,ArticleFragment,onCreateView,Long Statement
project-1-team-8,com.sismics.reader.fragment,ArticleFragment,onCreateView,Long Statement
project-1-team-8,com.sismics.reader.fragment,ArticleFragment,onCreateView,Magic Number
project-1-team-8,com.sismics.reader.fragment,ArticleFragment,zoomImageFromThumb,Long Statement
project-1-team-8,com.sismics.reader.fragment,ArticleFragment,zoomImageFromThumb,Long Statement
project-1-team-8,com.sismics.reader.fragment,ArticleFragment,zoomImageFromThumb,Magic Number
project-1-team-8,com.sismics.reader.fragment,ArticleFragment,zoomImageFromThumb,Magic Number
project-1-team-8,com.sismics.reader.fragment,ArticleFragment,onClick,Long Statement
project-1-team-8,com.sismics.reader.util,PreferenceUtil,getServerUrl,Magic Number
project-1-team-8,com.sismics.reader.core.model.jpa,FeedSubscription,toString,Long Statement
project-1-team-8,com.sismics.reader.core.model.context,AppContext,waitForAsync,Empty catch clause
project-1-team-8,com.sismics.reader.core.model.context,AppContext,waitForAsync,Magic Number
project-1-team-8,com.sismics.reader.core.service,IndexingService,searchArticles,Long Statement
project-1-team-8,com.sismics.reader.core.service,FeedService,scheduler,Magic Number
project-1-team-8,com.sismics.reader.core.service,FeedService,synchronizeAllFeeds,Magic Number
project-1-team-8,com.sismics.reader.core.service,FeedService,synchronize,Complex Method
project-1-team-8,com.sismics.reader.core.service,FeedService,synchronize,Long Method
project-1-team-8,com.sismics.reader.core.service,FeedService,synchronize,Long Statement
project-1-team-8,com.sismics.reader.core.service,FeedService,synchronize,Long Statement
project-1-team-8,com.sismics.reader.core.service,FeedService,synchronize,Long Statement
project-1-team-8,com.sismics.reader.core.service,FeedService,synchronize,Long Statement
project-1-team-8,com.sismics.reader.core.service,FeedService,synchronize,Long Statement
project-1-team-8,com.sismics.reader.core.service,FeedService,synchronize,Magic Number
project-1-team-8,com.sismics.reader.core.service,FeedService,synchronize,Magic Number
project-1-team-8,com.sismics.reader.core.service,FeedService,synchronize,Magic Number
project-1-team-8,com.sismics.reader.core.service,FeedService,synchronize,Magic Number
project-1-team-8,com.sismics.reader.core.service,FeedService,synchronize,Magic Number
project-1-team-8,com.sismics.reader.core.service,FeedService,synchronize,Magic Number
project-1-team-8,com.sismics.reader.core.service,FeedService,synchronize,Magic Number
project-1-team-8,com.sismics.reader.core.service,FeedService,synchronize,Magic Number
project-1-team-8,com.sismics.reader.core.service,FeedService,synchronize,Magic Number
project-1-team-8,com.sismics.reader.core.service,FeedService,synchronize,Magic Number
project-1-team-8,com.sismics.reader.core.service,FeedService,getArticleToRemove,Long Statement
project-1-team-8,com.sismics.reader.core.service,FeedService,getArticleToRemove,Long Statement
project-1-team-8,com.sismics.reader.core.service,FeedService,isFaviconUpdated,Long Statement
project-1-team-8,com.sismics.reader.core.service,FeedService,isFaviconUpdated,Magic Number
project-1-team-8,com.sismics.reader.core.service,FeedService,logParsingError,Complex Conditional
project-1-team-8,com.sismics.reader.core.service,FeedService,createInitialUserArticle,Long Statement
project-1-team-8,com.sismics.reader.core.listener.async,SubscriptionImportAsyncListener,createJob,Empty catch clause
project-1-team-8,com.sismics.reader.core.listener.async,SubscriptionImportAsyncListener,createJob,Empty catch clause
project-1-team-8,com.sismics.reader.core.listener.async,SubscriptionImportAsyncListener,createJob,Long Statement
project-1-team-8,com.sismics.reader.core.listener.async,SubscriptionImportAsyncListener,processImportFile,Complex Method
project-1-team-8,com.sismics.reader.core.listener.async,SubscriptionImportAsyncListener,processImportFile,Empty catch clause
project-1-team-8,com.sismics.reader.core.listener.async,SubscriptionImportAsyncListener,processImportFile,Empty catch clause
project-1-team-8,com.sismics.reader.core.listener.async,SubscriptionImportAsyncListener,processImportFile,Long Statement
project-1-team-8,com.sismics.reader.core.listener.async,SubscriptionImportAsyncListener,processImportFile,Long Statement
project-1-team-8,com.sismics.reader.core.listener.async,SubscriptionImportAsyncListener,processImportFile,Long Statement
project-1-team-8,com.sismics.reader.core.listener.async,SubscriptionImportAsyncListener,processImportFile,Long Statement
project-1-team-8,com.sismics.reader.core.listener.async,SubscriptionImportAsyncListener,importOutline,Complex Method
project-1-team-8,com.sismics.reader.core.listener.async,SubscriptionImportAsyncListener,importOutline,Long Statement
project-1-team-8,com.sismics.reader.core.listener.async,SubscriptionImportAsyncListener,importOutline,Long Statement
project-1-team-8,com.sismics.reader.core.listener.async,SubscriptionImportAsyncListener,importOutline,Long Statement
project-1-team-8,com.sismics.reader.core.listener.async,SubscriptionImportAsyncListener,importFeedFromStarred,Complex Method
project-1-team-8,com.sismics.reader.core.listener.async,SubscriptionImportAsyncListener,importFeedFromStarred,Long Statement
project-1-team-8,com.sismics.reader.core.listener.async,SubscriptionImportAsyncListener,importFeedFromStarred,Magic Number
project-1-team-8,com.sismics.reader.core.event,ArticleCreatedAsyncEvent,toString,Long Statement
project-1-team-8,com.sismics.reader.core.event,ArticleUpdatedAsyncEvent,toString,Long Statement
project-1-team-8,com.sismics.reader.core.event,ArticleDeletedAsyncEvent,toString,Long Statement
project-1-team-8,com.sismics.reader.core.dao.lucene,ArticleDao,search,Long Statement
project-1-team-8,com.sismics.reader.core.dao.lucene,ArticleDao,search,Long Statement
project-1-team-8,com.sismics.reader.core.dao.lucene,ArticleDao,search,Magic Number
project-1-team-8,com.sismics.reader.core.dao.lucene,ArticleDao,search,Magic Number
project-1-team-8,com.sismics.reader.core.dao.lucene,ArticleDao,search,Magic Number
project-1-team-8,com.sismics.reader.core.dao.lucene,ArticleDao,search,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.opml,OpmlReader,startElement,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.opml,OpmlReader,startElement,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.opml,OpmlReader,startElement,Long Statement
project-1-team-8,com.sismics.reader.core.dao.file.opml,TestOpmlReader,googleOpmlReaderTest,Long Statement
project-1-team-8,com.sismics.reader.core.dao.file.opml,TestOpmlReader,googleOpmlReaderTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.opml,TestOpmlReader,googleOpmlReaderTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.opml,TestOpmlReader,googleOpmlReaderTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.opml,TestOpmlReader,googleOpmlReaderTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.opml,TestOpmlReader,lifereaOpmlReaderTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.opml,TestOpmlReader,lifereaOpmlReaderTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.opml,TestOpmlReader,ttrssOpmlReaderTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.opml,TestOpmlReader,ttrssOpmlReaderTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.opml,TestOpmlReader,ttrssOpmlReaderTest,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,XmlReader,XmlReader,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.rss,XmlReader,XmlReader,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.rss,XmlReader,XmlReader,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.rss,XmlReader,XmlReader,Complex Method
project-1-team-8,com.sismics.reader.core.dao.file.rss,XmlReader,XmlReader,Empty catch clause
project-1-team-8,com.sismics.reader.core.dao.file.rss,XmlReader,XmlReader,Long Statement
project-1-team-8,com.sismics.reader.core.dao.file.rss,XmlReader,XmlReader,Long Statement
project-1-team-8,com.sismics.reader.core.dao.file.rss,XmlReader,XmlReader,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,XmlReader,XmlReader,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,XmlReader,XmlReader,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,XmlReader,XmlReader,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,XmlReader,XmlReader,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,XmlReader,XmlReader,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,XmlReader,XmlReader,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,XmlReader,XmlReader,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,XmlReader,XmlReader,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,XmlReader,XmlReader,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,XmlReader,XmlReader,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,XmlReader,XmlReader,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,XmlReader,XmlReader,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,XmlReader,XmlReader,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,XmlReader,XmlReader,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,XmlReader,XmlReader,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,XmlReader,XmlReader,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,XmlReader,XmlReader,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,XmlReader,XmlReader,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,XmlReader,XmlReader,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,XmlReader,XmlReader,Magic Number
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,readRssFeed,Empty catch clause
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Complex Conditional
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,startElement,Complex Conditional
